time,chunk_idx,win_idx,sqa_score,sqa_pass,prob_normal,chunk_label,chunk_prob_normal
2026-03-22 23:11:06,5,19,0.9987,True,0.0008,Abnormal,0.0082
2026-03-22 23:11:26,6,1,0.0004,False,,Abnormal,0.0105
2026-03-22 23:11:26,6,2,0.0004,False,,Abnormal,0.0105
2026-03-22 23:11:26,6,3,0.0000,False,,Abnormal,0.0105
2026-03-22 23:11:26,6,4,0.0060,False,,Abnormal,0.0105
2026-03-22 23:11:26,6,5,0.9640,True,0.0194,Abnormal,0.0105
2026-03-22 23:11:26,6,6,0.9382,True,0.0278,Abnormal,0.0105
2026-03-22 23:11:26,6,7,0.9983,True,0.0019,Abnormal,0.0105
2026-03-22 23:11:26,6,8,0.9970,True,0.0142,Abnormal,0.0105
2026-03-22 23:11:26,6,9,0.9836,True,0.0134,Abnormal,0.0105
2026-03-22 23:11:26,6,10,0.9983,True,0.0353,Abnormal,0.0105
2026-03-22 23:11:26,6,11,0.9975,True,0.0020,Abnormal,0.0105
2026-03-22 23:11:26,6,12,0.9745,True,0.0037,Abnormal,0.0105
2026-03-22 23:11:26,6,13,0.9000,True,0.0033,Abnormal,0.0105
2026-03-22 23:11:26,6,14,0.9785,True,0.0002,Abnormal,0.0105
2026-03-22 23:11:26,6,15,0.9999,True,0.0002,Abnormal,0.0105
2026-03-22 23:11:26,6,16,0.9969,True,0.0250,Abnormal,0.0105
2026-03-22 23:11:26,6,17,0.8625,True,0.0036,Abnormal,0.0105
2026-03-22 23:11:26,6,18,0.9749,True,0.0015,Abnormal,0.0105
2026-03-22 23:11:26,6,19,0.9978,True,0.0047,Abnormal,0.0105
2026-03-22 23:11:46,7,1,0.9874,True,0.0005,Abnormal,0.0077
2026-03-22 23:11:46,7,2,0.9501,True,0.0010,Abnormal,0.0077
2026-03-22 23:11:46,7,3,0.9976,True,0.0010,Abnormal,0.0077
2026-03-22 23:11:46,7,4,0.2188,False,,Abnormal,0.0077
2026-03-22 23:11:46,7,5,0.9665,True,0.0032,Abnormal,0.0077
2026-03-22 23:11:46,7,6,0.9280,True,0.0031,Abnormal,0.0077
2026-03-22 23:11:46,7,7,0.8119,True,0.0016,Abnormal,0.0077
2026-03-22 23:11:46,7,8,0.9969,True,0.0003,Abnormal,0.0077
2026-03-22 23:11:46,7,9,0.9944,True,0.0061,Abnormal,0.0077
2026-03-22 23:11:46,7,10,0.9985,True,0.0007,Abnormal,0.0077
2026-03-22 23:11:46,7,11,0.9809,True,0.0036,Abnormal,0.0077
2026-03-22 23:11:46,7,12,0.9587,True,0.0022,Abnormal,0.0077
2026-03-22 23:11:46,7,13,0.9958,True,0.0007,Abnormal,0.0077
2026-03-22 23:11:46,7,14,0.9771,True,0.0040,Abnormal,0.0077
2026-03-22 23:11:46,7,15,0.9837,True,0.0012,Abnormal,0.0077
2026-03-22 23:11:46,7,16,0.9903,True,0.0240,Abnormal,0.0077
2026-03-22 23:11:46,7,17,0.9523,True,0.0158,Abnormal,0.0077
2026-03-22 23:11:46,7,18,0.9910,True,0.0466,Abnormal,0.0077
2026-03-22 23:11:46,7,19,0.9991,True,0.0223,Abnormal,0.0077
2026-03-22 23:12:06,8,1,0.9806,True,0.0012,Abnormal,0.0095
2026-03-22 23:12:06,8,2,0.9475,True,0.0068,Abnormal,0.0095
2026-03-22 23:12:06,8,3,0.9997,True,0.0052,Abnormal,0.0095
2026-03-22 23:12:06,8,4,0.9696,True,0.0066,Abnormal,0.0095
2026-03-22 23:12:06,8,5,0.4405,False,,Abnormal,0.0095
2026-03-22 23:12:06,8,6,0.9897,True,0.0025,Abnormal,0.0095
2026-03-22 23:12:06,8,7,0.1856,False,,Abnormal,0.0095
2026-03-22 23:12:06,8,8,0.6905,True,0.0063,Abnormal,0.0095
2026-03-22 23:12:06,8,9,0.9724,True,0.0095,Abnormal,0.0095
2026-03-22 23:12:06,8,10,0.7559,True,0.0015,Abnormal,0.0095
2026-03-22 23:12:06,8,11,0.9568,True,0.0557,Abnormal,0.0095
2026-03-22 23:12:06,8,12,0.9091,True,0.0161,Abnormal,0.0095
2026-03-22 23:12:06,8,13,0.9511,True,0.0008,Abnormal,0.0095
2026-03-22 23:12:06,8,14,0.9647,True,0.0026,Abnormal,0.0095
2026-03-22 23:12:06,8,15,0.7134,True,0.0043,Abnormal,0.0095
2026-03-22 23:12:06,8,16,0.6768,True,0.0109,Abnormal,0.0095
2026-03-22 23:12:06,8,17,0.0002,False,,Abnormal,0.0095
2026-03-22 23:12:06,8,18,0.0004,False,,Abnormal,0.0095
2026-03-22 23:12:06,8,19,0.0009,False,,Abnormal,0.0095
2026-03-22 23:12:26,9,1,0.3338,False,,Abnormal,0.0063
2026-03-22 23:12:26,9,2,0.9035,True,0.0039,Abnormal,0.0063
2026-03-22 23:12:26,9,3,0.8170,True,0.0092,Abnormal,0.0063
2026-03-22 23:12:26,9,4,0.9993,True,0.0005,Abnormal,0.0063
2026-03-22 23:12:26,9,5,0.9653,True,0.0020,Abnormal,0.0063
2026-03-22 23:12:26,9,6,0.2906,False,,Abnormal,0.0063
2026-03-22 23:12:26,9,7,0.7856,True,0.0006,Abnormal,0.0063
2026-03-22 23:12:26,9,8,0.9427,True,0.0065,Abnormal,0.0063
2026-03-22 23:12:26,9,9,0.9922,True,0.0022,Abnormal,0.0063
2026-03-22 23:12:26,9,10,0.9934,True,0.0226,Abnormal,0.0063
2026-03-22 23:12:26,9,11,0.7024,True,0.0084,Abnormal,0.0063
2026-03-22 23:12:26,9,12,0.9820,True,0.0111,Abnormal,0.0063
2026-03-22 23:12:26,9,13,0.7717,True,0.0060,Abnormal,0.0063
2026-03-22 23:12:26,9,14,0.8836,True,0.0005,Abnormal,0.0063
2026-03-22 23:12:26,9,15,0.8840,True,0.0005,Abnormal,0.0063
2026-03-22 23:12:26,9,16,0.9968,True,0.0017,Abnormal,0.0063
2026-03-22 23:12:26,9,17,0.9998,True,0.0019,Abnormal,0.0063
2026-03-22 23:12:26,9,18,0.9993,True,0.0223,Abnormal,0.0063
2026-03-22 23:12:26,9,19,0.9945,True,0.0049,Abnormal,0.0063
2026-03-22 23:12:46,10,1,0.9064,True,0.0003,Abnormal,0.0038
2026-03-22 23:12:46,10,2,0.9993,True,0.0012,Abnormal,0.0038
